Number of lanes, Number of vehicles on the sidelines, Chance of congestion,Chance of weather disruptions,trains?,pointer Harr
1,3,20,90,1,00000000000018a8
1,3,20,100,0,00000000000018b0
1,3,20,100,1,00000000000018b8
1,3,30,0,0,00000000000018c0
1,3,30,0,1,00000000000018c8
1,3,30,10,0,00000000000018d0
1,3,30,10,1,00000000000018d8
1,3,30,20,0,00000000000018e0
1,3,30,20,1,00000000000018e8
1,3,30,30,0,00000000000018f0
1,3,30,30,1,00000000000018f8
1,3,30,40,0,0000000000001900
1,3,30,40,1,0000000000001908
1,3,30,50,0,0000000000001910
1,3,30,50,1,0000000000001918
1,3,30,60,0,0000000000001920
1,3,30,60,1,0000000000001928
1,3,30,70,0,0000000000001930
1,3,30,70,1,0000000000001938
1,3,30,80,0,0000000000001940
1,3,30,80,1,0000000000001948
1,3,30,90,0,0000000000001950
1,3,30,90,1,0000000000001958
1,3,30,100,0,0000000000001960
1,3,30,100,1,0000000000001968
1,3,40,0,0,0000000000001970
1,3,40,0,1,0000000000001978
1,3,40,10,0,0000000000001980
1,3,40,10,1,0000000000001988
1,3,40,20,0,0000000000001990
1,3,40,20,1,0000000000001998
1,3,40,30,0,00000000000019a0
1,3,40,30,1,00000000000019a8
1,3,40,40,0,00000000000019b0
1,3,40,40,1,00000000000019b8
1,3,40,50,0,00000000000019c0
1,3,40,50,1,00000000000019c8
1,3,40,60,0,00000000000019d0
1,3,40,60,1,00000000000019d8
1,3,40,70,0,00000000000019e0
1,3,40,70,1,00000000000019e8
1,3,40,80,0,00000000000019f0
1,3,40,80,1,00000000000019f8
1,3,40,90,0,0000000000001a00
1,3,40,90,1,0000000000001a08
1,3,40,100,0,0000000000001a10
1,3,40,100,1,0000000000001a18
1,3,50,0,0,0000000000001a20
1,3,50,0,1,0000000000001a28
1,3,50,10,0,0000000000001a30
1,3,50,10,1,0000000000001a38
1,3,50,20,0,0000000000001a40
1,3,50,20,1,0000000000001a48
1,3,50,30,0,0000000000001a50
1,3,50,30,1,0000000000001a58
1,3,50,40,0,0000000000001a60
1,3,50,40,1,0000000000001a68
1,3,50,50,0,0000000000001a70
1,3,50,50,1,0000000000001a78
1,3,50,60,0,0000000000001a80
1,3,50,60,1,0000000000001a88
1,3,50,70,0,0000000000001a90
1,3,50,70,1,0000000000001a98
1,3,50,80,0,0000000000001aa0
1,3,50,80,1,0000000000001aa8
1,3,50,90,0,0000000000001ab0
1,3,50,90,1,0000000000001ab8
1,3,50,100,0,0000000000001ac0
1,3,50,100,1,0000000000001ac8
1,3,60,0,0,0000000000001ad0
1,3,60,0,1,0000000000001ad8
1,3,60,10,0,0000000000001ae0
1,3,60,10,1,0000000000001ae8
1,3,60,20,0,0000000000001af0
1,3,60,20,1,0000000000001af8
1,3,60,30,0,0000000000001b00
1,3,60,30,1,0000000000001b08
1,3,60,40,0,0000000000001b10
1,3,60,40,1,0000000000001b18
1,3,60,50,0,0000000000001b20
1,3,60,50,1,0000000000001b28
1,3,60,60,0,0000000000001b30
1,3,60,60,1,0000000000001b38
1,3,60,70,0,0000000000001b40
1,3,60,70,1,0000000000001b48
1,3,60,80,0,0000000000001b50
1,3,60,80,1,0000000000001b58
1,3,60,90,0,0000000000001b60
1,3,60,90,1,0000000000001b68
1,3,60,100,0,0000000000001b70
1,3,60,100,1,0000000000001b78
1,3,70,0,0,0000000000001b80
1,3,70,0,1,0000000000001b88
1,3,70,10,0,0000000000001b90
1,3,70,10,1,0000000000001b98
1,3,70,20,0,0000000000001ba0
1,3,70,20,1,0000000000001ba8
1,3,70,30,0,0000000000001bb0
1,3,70,30,1,0000000000001bb8
1,3,70,40,0,0000000000001bc0
1,3,70,40,1,0000000000001bc8
1,3,70,50,0,0000000000001bd0
1,3,70,50,1,0000000000001bd8
1,3,70,60,0,0000000000001be0
1,3,70,60,1,0000000000001be8
1,3,70,70,0,0000000000001bf0
1,3,70,70,1,0000000000001bf8
1,3,70,80,0,0000000000001c00
1,3,70,80,1,0000000000001c08
1,3,70,90,0,0000000000001c10
1,3,70,90,1,0000000000001c18
1,3,70,100,0,0000000000001c20
1,3,70,100,1,0000000000001c28
1,3,80,0,0,0000000000001c30
1,3,80,0,1,0000000000001c38
1,3,80,10,0,0000000000001c40
1,3,80,10,1,0000000000001c48
1,3,80,20,0,0000000000001c50
1,3,80,20,1,0000000000001c58
1,3,80,30,0,0000000000001c60
1,3,80,30,1,0000000000001c68
1,3,80,40,0,0000000000001c70
1,3,80,40,1,0000000000001c78
1,3,80,50,0,0000000000001c80
1,3,80,50,1,0000000000001c88
1,3,80,60,0,0000000000001c90
1,3,80,60,1,0000000000001c98
1,3,80,70,0,0000000000001ca0
1,3,80,70,1,0000000000001ca8
1,3,80,80,0,0000000000001cb0
1,3,80,80,1,0000000000001cb8
1,3,80,90,0,0000000000001cc0
1,3,80,90,1,0000000000001cc8
1,3,80,100,0,0000000000001cd0
1,3,80,100,1,0000000000001cd8
1,3,90,0,0,0000000000001ce0
1,3,90,0,1,0000000000001ce8
1,3,90,10,0,0000000000001cf0
1,3,90,10,1,0000000000001cf8
1,3,90,20,0,0000000000001d00
1,3,90,20,1,0000000000001d08
1,3,90,30,0,0000000000001d10
1,3,90,30,1,0000000000001d18
1,3,90,40,0,0000000000001d20
1,3,90,40,1,0000000000001d28
1,3,90,50,0,0000000000001d30
1,3,90,50,1,0000000000001d38
1,3,90,60,0,0000000000001d40
1,3,90,60,1,0000000000001d48
1,3,90,70,0,0000000000001d50
1,3,90,70,1,0000000000001d58
1,3,90,80,0,0000000000001d60
1,3,90,80,1,0000000000001d68
1,3,90,90,0,0000000000001d70
1,3,90,90,1,0000000000001d78
1,3,90,100,0,0000000000001d80
1,3,90,100,1,0000000000001d88
1,3,100,0,0,0000000000001d90
1,3,100,0,1,0000000000001d98
1,3,100,10,0,0000000000001da0
1,3,100,10,1,0000000000001da8
1,3,100,20,0,0000000000001db0
1,3,100,20,1,0000000000001db8
1,3,100,30,0,0000000000001dc0
1,3,100,30,1,0000000000001dc8
1,3,100,40,0,0000000000001dd0
1,3,100,40,1,0000000000001dd8
1,3,100,50,0,0000000000001de0
1,3,100,50,1,0000000000001de8
1,3,100,60,0,0000000000001df0
1,3,100,60,1,0000000000001df8
1,3,100,70,0,0000000000001e00
1,3,100,70,1,0000000000001e08
1,3,100,80,0,0000000000001e10
1,3,100,80,1,0000000000001e18
1,3,100,90,0,0000000000001e20
1,3,100,90,1,0000000000001e28
1,3,100,100,0,0000000000001e30
1,3,100,100,1,0000000000001e38
2,0,0,0,0,0000000000001e40
2,0,0,0,1,0000000000001e48
2,0,0,10,0,0000000000001e50
2,0,0,10,1,0000000000001e58
2,0,0,20,0,0000000000001e60
2,0,0,20,1,0000000000001e68
2,0,0,30,0,0000000000001e70
2,0,0,30,1,0000000000001e78
2,0,0,40,0,0000000000001e80
2,0,0,40,1,0000000000001e88
2,0,0,50,0,0000000000001e90
2,0,0,50,1,0000000000001e98
2,0,0,60,0,0000000000001ea0
2,0,0,60,1,0000000000001ea8
2,0,0,70,0,0000000000001eb0
2,0,0,70,1,0000000000001eb8
2,0,0,80,0,0000000000001ec0
2,0,0,80,1,0000000000001ec8
2,0,0,90,0,0000000000001ed0
2,0,0,90,1,0000000000001ed8
2,0,0,100,0,0000000000001ee0
2,0,0,100,1,0000000000001ee8
2,0,10,0,0,0000000000001ef0
2,0,10,0,1,0000000000001ef8
2,0,10,10,0,0000000000001f00
2,0,10,10,1,0000000000001f08
2,0,10,20,0,0000000000001f10
2,0,10,20,1,0000000000001f18
2,0,10,30,0,0000000000001f20
2,0,10,30,1,0000000000001f28
2,0,10,40,0,0000000000001f30
2,0,10,40,1,0000000000001f38
2,0,10,50,0,0000000000001f40
2,0,10,50,1,0000000000001f48
2,0,10,60,0,0000000000001f50
2,0,10,60,1,0000000000001f58
2,0,10,70,0,0000000000001f60
2,0,10,70,1,0000000000001f68
2,0,10,80,0,0000000000001f70
2,0,10,80,1,0000000000001f78
2,0,10,90,0,0000000000001f80
2,0,10,90,1,0000000000001f88
2,0,10,100,0,0000000000001f90
2,0,10,100,1,0000000000001f98
2,0,20,0,0,0000000000001fa0
2,0,20,0,1,0000000000001fa8
2,0,20,10,0,0000000000001fb0
2,0,20,10,1,0000000000001fb8
2,0,20,20,0,0000000000001fc0
2,0,20,20,1,0000000000001fc8
2,0,20,30,0,0000000000001fd0
2,0,20,30,1,0000000000001fd8
2,0,20,40,0,0000000000001fe0
2,0,20,40,1,0000000000001fe8
2,0,20,50,0,0000000000001ff0
2,0,20,50,1,0000000000001ff8
2,0,20,60,0,0000000000002000
2,0,20,60,1,0000000000002008
2,0,20,70,0,0000000000002010
2,0,20,70,1,0000000000002018
2,0,20,80,0,0000000000002020
2,0,20,80,1,0000000000002028
2,0,20,90,0,0000000000002030
2,0,20,90,1,0000000000002038
2,0,20,100,0,0000000000002040
2,0,20,100,1,0000000000002048
2,0,30,0,0,0000000000002050
2,0,30,0,1,0000000000002058
2,0,30,10,0,0000000000002060
2,0,30,10,1,0000000000002068
2,0,30,20,0,0000000000002070
2,0,30,20,1,0000000000002078
2,0,30,30,0,0000000000002080
2,0,30,30,1,0000000000002088
2,0,30,40,0,0000000000002090
2,0,30,40,1,0000000000002098
2,0,30,50,0,00000000000020a0
2,0,30,50,1,00000000000020a8
2,0,30,60,0,00000000000020b0
2,0,30,60,1,00000000000020b8
2,0,30,70,0,00000000000020c0
2,0,30,70,1,00000000000020c8
2,0,30,80,0,00000000000020d0
2,0,30,80,1,00000000000020d8
2,0,30,90,0,00000000000020e0
2,0,30,90,1,00000000000020e8
2,0,30,100,0,00000000000020f0
2,0,30,100,1,00000000000020f8
2,0,40,0,0,0000000000002100
2,0,40,0,1,0000000000002108
2,0,40,10,0,0000000000002110
2,0,40,10,1,0000000000002118
2,0,40,20,0,0000000000002120
2,0,40,20,1,0000000000002128
2,0,40,30,0,0000000000002130
2,0,40,30,1,0000000000002138
2,0,40,40,0,0000000000002140
2,0,40,40,1,0000000000002148
2,0,40,50,0,0000000000002150
2,0,40,50,1,0000000000002158
2,0,40,60,0,0000000000002160
2,0,40,60,1,0000000000002168
2,0,40,70,0,0000000000002170
2,0,40,70,1,0000000000002178
2,0,40,80,0,0000000000002180
2,0,40,80,1,0000000000002188
2,0,40,90,0,0000000000002190
2,0,40,90,1,0000000000002198
2,0,40,100,0,00000000000021a0
2,0,40,100,1,00000000000021a8
2,0,50,0,0,00000000000021b0
2,0,50,0,1,00000000000021b8
2,0,50,10,0,00000000000021c0
2,0,50,10,1,00000000000021c8
2,0,50,20,0,00000000000021d0
2,0,50,20,1,00000000000021d8
2,0,50,30,0,00000000000021e0
2,0,50,30,1,00000000000021e8
2,0,50,40,0,00000000000021f0
2,0,50,40,1,00000000000021f8
2,0,50,50,0,0000000000002200
2,0,50,50,1,0000000000002208
2,0,50,60,0,0000000000002210
2,0,50,60,1,0000000000002218
2,0,50,70,0,0000000000002220
2,0,50,70,1,0000000000002228
2,0,50,80,0,0000000000002230
2,0,50,80,1,0000000000002238
2,0,50,90,0,0000000000002240
2,0,50,90,1,0000000000002248
2,0,50,100,0,0000000000002250
2,0,50,100,1,0000000000002258
2,0,60,0,0,0000000000002260
2,0,60,0,1,0000000000002268
2,0,60,10,0,0000000000002270
2,0,60,10,1,0000000000002278
2,0,60,20,0,0000000000002280
2,0,60,20,1,0000000000002288
2,0,60,30,0,0000000000002290
2,0,60,30,1,0000000000002298
2,0,60,40,0,00000000000022a0
2,0,60,40,1,00000000000022a8
2,0,60,50,0,00000000000022b0
2,0,60,50,1,00000000000022b8
2,0,60,60,0,00000000000022c0
2,0,60,60,1,00000000000022c8
2,0,60,70,0,00000000000022d0
2,0,60,70,1,00000000000022d8
2,0,60,80,0,00000000000022e0
2,0,60,80,1,00000000000022e8
2,0,60,90,0,00000000000022f0
2,0,60,90,1,00000000000022f8
2,0,60,100,0,0000000000002300
2,0,60,100,1,0000000000002308
2,0,70,0,0,0000000000002310
2,0,70,0,1,0000000000002318
2,0,70,10,0,0000000000002320
2,0,70,10,1,0000000000002328
2,0,70,20,0,0000000000002330
2,0,70,20,1,0000000000002338
2,0,70,30,0,0000000000002340
2,0,70,30,1,0000000000002348
2,0,70,40,0,0000000000002350
2,0,70,40,1,0000000000002358
2,0,70,50,0,0000000000002360
2,0,70,50,1,0000000000002368
2,0,70,60,0,0000000000002370
2,0,70,60,1,0000000000002378
2,0,70,70,0,0000000000002380
2,0,70,70,1,0000000000002388
2,0,70,80,0,0000000000002390
2,0,70,80,1,0000000000002398
2,0,70,90,0,00000000000023a0
2,0,70,90,1,00000000000023a8
2,0,70,100,0,00000000000023b0
2,0,70,100,1,00000000000023b8
2,0,80,0,0,00000000000023c0
2,0,80,0,1,00000000000023c8
2,0,80,10,0,00000000000023d0
2,0,80,10,1,00000000000023d8
2,0,80,20,0,00000000000023e0
2,0,80,20,1,00000000000023e8
2,0,80,30,0,00000000000023f0
2,0,80,30,1,00000000000023f8
2,0,80,40,0,0000000000002400
2,0,80,40,1,0000000000002408
2,0,80,50,0,0000000000002410
2,0,80,50,1,0000000000002418
2,0,80,60,0,0000000000002420
2,0,80,60,1,0000000000002428
2,0,80,70,0,0000000000002430
2,0,80,70,1,0000000000002438
2,0,80,80,0,0000000000002440
2,0,80,80,1,0000000000002448
2,0,80,90,0,0000000000002450
2,0,80,90,1,0000000000002458
2,0,80,100,0,0000000000002460
2,0,80,100,1,0000000000002468
2,0,90,0,0,0000000000002470
2,0,90,0,1,0000000000002478
2,0,90,10,0,0000000000002480
2,0,90,10,1,0000000000002488
2,0,90,20,0,0000000000002490
2,0,90,20,1,0000000000002498
2,0,90,30,0,00000000000024a0
2,0,90,30,1,00000000000024a8
2,0,90,40,0,00000000000024b0
2,0,90,40,1,00000000000024b8
2,0,90,50,0,00000000000024c0
2,0,90,50,1,00000000000024c8
2,0,90,60,0,00000000000024d0
2,0,90,60,1,00000000000024d8
2,0,90,70,0,00000000000024e0
2,0,90,70,1,00000000000024e8
2,0,90,80,0,00000000000024f0
2,0,90,80,1,00000000000024f8
2,0,90,90,0,0000000000002500
2,0,90,90,1,0000000000002508
2,0,90,100,0,0000000000002510
2,0,90,100,1,0000000000002518
2,0,100,0,0,0000000000002520
2,0,100,0,1,0000000000002528
2,0,100,10,0,0000000000002530
2,0,100,10,1,0000000000002538
2,0,100,20,0,0000000000002540
2,0,100,20,1,0000000000002548
2,0,100,30,0,0000000000002550
2,0,100,30,1,0000000000002558
2,0,100,40,0,0000000000002560
2,0,100,40,1,0000000000002568
2,0,100,50,0,0000000000002570
2,0,100,50,1,0000000000002578
2,0,100,60,0,0000000000002580
2,0,100,60,1,0000000000002588
2,0,100,70,0,0000000000002590
2,0,100,70,1,0000000000002598
2,0,100,80,0,00000000000025a0
2,0,100,80,1,00000000000025a8
2,0,100,90,0,00000000000025b0
2,0,100,90,1,00000000000025b8
2,0,100,100,0,00000000000025c0
2,0,100,100,1,00000000000025c8
2,1,0,0,0,00000000000025d0
2,1,0,0,1,00000000000025d8
2,1,0,10,0,00000000000025e0
2,1,0,10,1,00000000000025e8
2,1,0,20,0,00000000000025f0
2,1,0,20,1,00000000000025f8
2,1,0,30,0,0000000000002600
2,1,0,30,1,0000000000002608
2,1,0,40,0,0000000000002610
2,1,0,40,1,0000000000002618
2,1,0,50,0,0000000000002620
2,1,0,50,1,0000000000002628
2,1,0,60,0,0000000000002630
2,1,0,60,1,0000000000002638
2,1,0,70,0,0000000000002640
2,1,0,70,1,0000000000002648
2,1,0,80,0,0000000000002650
2,1,0,80,1,0000000000002658
2,1,0,90,0,0000000000002660
2,1,0,90,1,0000000000002668
2,1,0,100,0,0000000000002670
2,1,0,100,1,0000000000002678
2,1,10,0,0,0000000000002680
2,1,10,0,1,0000000000002688
2,1,10,10,0,0000000000002690
2,1,10,10,1,0000000000002698
2,1,10,20,0,00000000000026a0
2,1,10,20,1,00000000000026a8
2,1,10,30,0,00000000000026b0
2,1,10,30,1,00000000000026b8
2,1,10,40,0,00000000000026c0
2,1,10,40,1,00000000000026c8
2,1,10,50,0,00000000000026d0
2,1,10,50,1,00000000000026d8
2,1,10,60,0,00000000000026e0
2,1,10,60,1,00000000000026e8
2,1,10,70,0,00000000000026f0
2,1,10,70,1,00000000000026f8
2,1,10,80,0,0000000000002700
2,1,10,80,1,0000000000002708
2,1,10,90,0,0000000000002710
2,1,10,90,1,0000000000002718
2,1,10,100,0,0000000000002720
2,1,10,100,1,0000000000002728
2,1,20,0,0,0000000000002730
2,1,20,0,1,0000000000002738
2,1,20,10,0,0000000000002740
2,1,20,10,1,0000000000002748
2,1,20,20,0,0000000000002750
2,1,20,20,1,0000000000002758
2,1,20,30,0,0000000000002760
2,1,20,30,1,0000000000002768
2,1,20,40,0,0000000000002770
2,1,20,40,1,0000000000002778
2,1,20,50,0,0000000000002780
2,1,20,50,1,0000000000002788
2,1,20,60,0,0000000000002790
2,1,20,60,1,0000000000002798
2,1,20,70,0,00000000000027a0
2,1,20,70,1,00000000000027a8
2,1,20,80,0,00000000000027b0
2,1,20,80,1,00000000000027b8
2,1,20,90,0,00000000000027c0
2,1,20,90,1,00000000000027c8
2,1,20,100,0,00000000000027d0
2,1,20,100,1,00000000000027d8
2,1,30,0,0,00000000000027e0
2,1,30,0,1,00000000000027e8
2,1,30,10,0,00000000000027f0
2,1,30,10,1,00000000000027f8
2,1,30,20,0,0000000000002800
2,1,30,20,1,0000000000002808
2,1,30,30,0,0000000000002810
2,1,30,30,1,0000000000002818
2,1,30,40,0,0000000000002820
2,1,30,40,1,0000000000002828
2,1,30,50,0,0000000000002830
2,1,30,50,1,0000000000002838
2,1,30,60,0,0000000000002840
2,1,30,60,1,0000000000002848
2,1,30,70,0,0000000000002850
2,1,30,70,1,0000000000002858
2,1,30,80,0,0000000000002860
2,1,30,80,1,0000000000002868
2,1,30,90,0,0000000000002870
2,1,30,90,1,0000000000002878
2,1,30,100,0,0000000000002880
2,1,30,100,1,0000000000002888
2,1,40,0,0,0000000000002890
2,1,40,0,1,0000000000002898
2,1,40,10,0,00000000000028a0
2,1,40,10,1,00000000000028a8
2,1,40,20,0,00000000000028b0
2,1,40,20,1,00000000000028b8
2,1,40,30,0,00000000000028c0
2,1,40,30,1,00000000000028c8
2,1,40,40,0,00000000000028d0
2,1,40,40,1,00000000000028d8
2,1,40,50,0,00000000000028e0
2,1,40,50,1,00000000000028e8
2,1,40,60,0,00000000000028f0
2,1,40,60,1,00000000000028f8
2,1,40,70,0,0000000000002900
2,1,40,70,1,0000000000002908
2,1,40,80,0,0000000000002910
2,1,40,80,1,0000000000002918
2,1,40,90,0,0000000000002920
2,1,40,90,1,0000000000002928
2,1,40,100,0,0000000000002930
2,1,40,100,1,0000000000002938
2,1,50,0,0,0000000000002940
2,1,50,0,1,0000000000002948
2,1,50,10,0,0000000000002950
2,1,50,10,1,0000000000002958
2,1,50,20,0,0000000000002960
2,1,50,20,1,0000000000002968
2,1,50,30,0,0000000000002970
2,1,50,30,1,0000000000002978
2,1,50,40,0,0000000000002980
2,1,50,40,1,0000000000002988
2,1,50,50,0,0000000000002990
2,1,50,50,1,0000000000002998
2,1,50,60,0,00000000000029a0
2,1,50,60,1,00000000000029a8
2,1,50,70,0,00000000000029b0
2,1,50,70,1,00000000000029b8
2,1,50,80,0,00000000000029c0
2,1,50,80,1,00000000000029c8
2,1,50,90,0,00000000000029d0
2,1,50,90,1,00000000000029d8
2,1,50,100,0,00000000000029e0
2,1,50,100,1,00000000000029e8
2,1,60,0,0,00000000000029f0
2,1,60,0,1,00000000000029f8
2,1,60,10,0,0000000000002a00
2,1,60,10,1,0000000000002a08
2,1,60,20,0,0000000000002a10
2,1,60,20,1,0000000000002a18
2,1,60,30,0,0000000000002a20
2,1,60,30,1,0000000000002a28
2,1,60,40,0,0000000000002a30
2,1,60,40,1,0000000000002a38
2,1,60,50,0,0000000000002a40
2,1,60,50,1,0000000000002a48
2,1,60,60,0,0000000000002a50
2,1,60,60,1,0000000000002a58
2,1,60,70,0,0000000000002a60
2,1,60,70,1,0000000000002a68
2,1,60,80,0,0000000000002a70
2,1,60,80,1,0000000000002a78
2,1,60,90,0,0000000000002a80
2,1,60,90,1,0000000000002a88
2,1,60,100,0,0000000000002a90
2,1,60,100,1,0000000000002a98
2,1,70,0,0,0000000000002aa0
2,1,70,0,1,0000000000002aa8
2,1,70,10,0,0000000000002ab0
2,1,70,10,1,0000000000002ab8
2,1,70,20,0,0000000000002ac0
2,1,70,20,1,0000000000002ac8
2,1,70,30,0,0000000000002ad0
2,1,70,30,1,0000000000002ad8
2,1,70,40,0,0000000000002ae0
2,1,70,40,1,0000000000002ae8
2,1,70,50,0,0000000000002af0
2,1,70,50,1,0000000000002af8
2,1,70,60,0,0000000000002b00
2,1,70,60,1,0000000000002b08
2,1,70,70,0,0000000000002b10
2,1,70,70,1,0000000000002b18
2,1,70,80,0,0000000000002b20
2,1,70,80,1,0000000000002b28
2,1,70,90,0,0000000000002b30
2,1,70,90,1,0000000000002b38
2,1,70,100,0,0000000000002b40
2,1,70,100,1,0000000000002b48
2,1,80,0,0,0000000000002b50
2,1,80,0,1,0000000000002b58
2,1,80,10,0,0000000000002b60
2,1,80,10,1,0000000000002b68
2,1,80,20,0,0000000000002b70
2,1,80,20,1,0000000000002b78
2,1,80,30,0,0000000000002b80
2,1,80,30,1,0000000000002b88
2,1,80,40,0,0000000000002b90
2,1,80,40,1,0000000000002b98
2,1,80,50,0,0000000000002ba0
2,1,80,50,1,0000000000002ba8
2,1,80,60,0,0000000000002bb0
2,1,80,60,1,0000000000002bb8
2,1,80,70,0,0000000000002bc0
2,1,80,70,1,0000000000002bc8
2,1,80,80,0,0000000000002bd0
2,1,80,80,1,0000000000002bd8
2,1,80,90,0,0000000000002be0
2,1,80,90,1,0000000000002be8
2,1,80,100,0,0000000000002bf0
2,1,80,100,1,0000000000002bf8
2,1,90,0,0,0000000000002c00
2,1,90,0,1,0000000000002c08
2,1,90,10,0,0000000000002c10
2,1,90,10,1,0000000000002c18
2,1,90,20,0,0000000000002c20
2,1,90,20,1,0000000000002c28
2,1,90,30,0,0000000000002c30
2,1,90,30,1,0000000000002c38
2,1,90,40,0,0000000000002c40
2,1,90,40,1,0000000000002c48
2,1,90,50,0,0000000000002c50
2,1,90,50,1,0000000000002c58
2,1,90,60,0,0000000000002c60
2,1,90,60,1,0000000000002c68
2,1,90,70,0,0000000000002c70
2,1,90,70,1,0000000000002c78
2,1,90,80,0,0000000000002c80
2,1,90,80,1,0000000000002c88
2,1,90,90,0,0000000000002c90
2,1,90,90,1,0000000000002c98
2,1,90,100,0,0000000000002ca0
2,1,90,100,1,0000000000002ca8
2,1,100,0,0,0000000000002cb0
2,1,100,0,1,0000000000002cb8
2,1,100,10,0,0000000000002cc0
2,1,100,10,1,0000000000002cc8
2,1,100,20,0,0000000000002cd0
2,1,100,20,1,0000000000002cd8
2,1,100,30,0,0000000000002ce0
2,1,100,30,1,0000000000002ce8
2,1,100,40,0,0000000000002cf0
2,1,100,40,1,0000000000002cf8
2,1,100,50,0,0000000000002d00
2,1,100,50,1,0000000000002d08
2,1,100,60,0,0000000000002d10
2,1,100,60,1,0000000000002d18
2,1,100,70,0,0000000000002d20
2,1,100,70,1,0000000000002d28
2,1,100,80,0,0000000000002d30
2,1,100,80,1,0000000000002d38
2,1,100,90,0,0000000000002d40
2,1,100,90,1,0000000000002d48
2,1,100,100,0,0000000000002d50
2,1,100,100,1,0000000000002d58
2,2,0,0,0,0000000000002d60
2,2,0,0,1,0000000000002d68
2,2,0,10,0,0000000000002d70
2,2,0,10,1,0000000000002d78
2,2,0,20,0,0000000000002d80
2,2,0,20,1,0000000000002d88
2,2,0,30,0,0000000000002d90
2,2,0,30,1,0000000000002d98
2,2,0,40,0,0000000000002da0
2,2,0,40,1,0000000000002da8
2,2,0,50,0,0000000000002db0
2,2,0,50,1,0000000000002db8
2,2,0,60,0,0000000000002dc0
2,2,0,60,1,0000000000002dc8
2,2,0,70,0,0000000000002dd0
2,2,0,70,1,0000000000002dd8
2,2,0,80,0,0000000000002de0
2,2,0,80,1,0000000000002de8
2,2,0,90,0,0000000000002df0
2,2,0,90,1,0000000000002df8
2,2,0,100,0,0000000000002e00
2,2,0,100,1,0000000000002e08
2,2,10,0,0,0000000000002e10
2,2,10,0,1,0000000000002e18
2,2,10,10,0,0000000000002e20
2,2,10,10,1,0000000000002e28
2,2,10,20,0,0000000000002e30
2,2,10,20,1,0000000000002e38
2,2,10,30,0,0000000000002e40
2,2,10,30,1,0000000000002e48
2,2,10,40,0,0000000000002e50
2,2,10,40,1,0000000000002e58
2,2,10,50,0,0000000000002e60
2,2,10,50,1,0000000000002e68
2,2,10,60,0,0000000000002e70
2,2,10,60,1,0000000000002e78
2,2,10,70,0,0000000000002e80
2,2,10,70,1,0000000000002e88
2,2,10,80,0,0000000000002e90
2,2,10,80,1,0000000000002e98
2,2,10,90,0,0000000000002ea0
2,2,10,90,1,0000000000002ea8
2,2,10,100,0,0000000000002eb0
2,2,10,100,1,0000000000002eb8
2,2,20,0,0,0000000000002ec0
2,2,20,0,1,0000000000002ec8
2,2,20,10,0,0000000000002ed0
2,2,20,10,1,0000000000002ed8
2,2,20,20,0,0000000000002ee0
2,2,20,20,1,0000000000002ee8
2,2,20,30,0,0000000000002ef0
2,2,20,30,1,0000000000002ef8
2,2,20,40,0,0000000000002f00
2,2,20,40,1,0000000000002f08
2,2,20,50,0,0000000000002f10
2,2,20,50,1,0000000000002f18
2,2,20,60,0,0000000000002f20
2,2,20,60,1,0000000000002f28
2,2,20,70,0,0000000000002f30
2,2,20,70,1,0000000000002f38
2,2,20,80,0,0000000000002f40
2,2,20,80,1,0000000000002f48
2,2,20,90,0,0000000000002f50
2,2,20,90,1,0000000000002f58
2,2,20,100,0,0000000000002f60
2,2,20,100,1,0000000000002f68
2,2,30,0,0,0000000000002f70
2,2,30,0,1,0000000000002f78
2,2,30,10,0,0000000000002f80
2,2,30,10,1,0000000000002f88
2,2,30,20,0,0000000000002f90
2,2,30,20,1,0000000000002f98
2,2,30,30,0,0000000000002fa0
2,2,30,30,1,0000000000002fa8
2,2,30,40,0,0000000000002fb0
2,2,30,40,1,0000000000002fb8
2,2,30,50,0,0000000000002fc0
2,2,30,50,1,0000000000002fc8
2,2,30,60,0,0000000000002fd0
2,2,30,60,1,0000000000002fd8
2,2,30,70,0,0000000000002fe0
2,2,30,70,1,0000000000002fe8
2,2,30,80,0,0000000000002ff0
2,2,30,80,1,0000000000002ff8
2,2,30,90,0,0000000000003000
2,2,30,90,1,0000000000003008
2,2,30,100,0,0000000000003010
2,2,30,100,1,0000000000003018
2,2,40,0,0,0000000000003020
2,2,40,0,1,0000000000003028
2,2,40,10,0,0000000000003030
2,2,40,10,1,0000000000003038
2,2,40,20,0,0000000000003040
2,2,40,20,1,0000000000003048
2,2,40,30,0,0000000000003050
2,2,40,30,1,0000000000003058
2,2,40,40,0,0000000000003060
2,2,40,40,1,0000000000003068
2,2,40,50,0,0000000000003070
2,2,40,50,1,0000000000003078
2,2,40,60,0,0000000000003080
2,2,40,60,1,0000000000003088
2,2,40,70,0,0000000000003090
2,2,40,70,1,0000000000003098
2,2,40,80,0,00000000000030a0
2,2,40,80,1,00000000000030a8
2,2,40,90,0,00000000000030b0
2,2,40,90,1,00000000000030b8
2,2,40,100,0,00000000000030c0
2,2,40,100,1,00000000000030c8
2,2,50,0,0,00000000000030d0
2,2,50,0,1,00000000000030d8
2,2,50,10,0,00000000000030e0
2,2,50,10,1,00000000000030e8
2,2,50,20,0,00000000000030f0
2,2,50,20,1,00000000000030f8
2,2,50,30,0,0000000000003100
2,2,50,30,1,0000000000003108
